,gvkey,iid,datadate,tic,trt1m,naics,sic
65809,1320,01,30/09/1972,ALV.3,,,2080.0
65810,1320,01,31/10/1972,ALV.3,9.0498,,2080.0
65811,1320,01,30/11/1972,ALV.3,-3.7344,,2080.0
65812,1320,01,31/12/1972,ALV.3,7.3276,,2080.0
65813,1320,01,31/01/1973,ALV.3,18.0723,,2080.0
65814,1320,01,28/02/1973,ALV.3,-0.3401,,2080.0
65815,1320,01,31/03/1973,ALV.3,1.0239,,2080.0
65816,1320,01,30/04/1973,ALV.3,-10.1351,,2080.0
65817,1320,01,31/05/1973,ALV.3,5.2632,,2080.0
65818,1320,01,30/06/1973,ALV.3,3.5714,,2080.0
65819,1320,01,31/07/1973,ALV.3,-14.4828,,2080.0
65820,1320,01,31/08/1973,ALV.3,3.629,,2080.0
65821,1320,01,30/09/1973,ALV.3,9.821,,2080.0
65822,1320,01,31/10/1973,ALV.3,1.4184,,2080.0
65823,1320,01,30/11/1973,ALV.3,-28.3217,,2080.0
65824,1320,01,31/12/1973,ALV.3,-1.8341,,2080.0
65825,1320,01,31/01/1974,ALV.3,-27.8607,,2080.0
65826,1320,01,28/02/1974,ALV.3,10.3448,,2080.0
65827,1320,01,31/03/1974,ALV.3,-24.375,,2080.0
65828,1320,01,30/04/1974,ALV.3,-14.0496,,2080.0
65829,1320,01,31/05/1974,ALV.3,-17.0769,,2080.0
65830,1320,01,30/06/1974,ALV.3,-6.9767,,2080.0
65831,1320,01,31/07/1974,ALV.3,-22.5,,2080.0
65832,1320,01,31/08/1974,ALV.3,-27.4194,,2080.0
65833,1320,01,30/09/1974,ALV.3,13.8667,,2080.0
65834,1320,01,31/10/1974,ALV.3,-9.8039,,2080.0
65835,1320,01,30/11/1974,ALV.3,-14.6957,,2080.0
65836,1320,01,31/12/1974,ALV.3,-10.2564,,2080.0
65837,1320,01,31/01/1975,ALV.3,57.1429,,2080.0
65838,1320,01,28/02/1975,ALV.3,7.2727,,2080.0
65839,1320,01,31/03/1975,ALV.3,6.7797,,2080.0
65840,1320,01,30/04/1975,ALV.3,22.2222,,2080.0
65841,1320,01,31/05/1975,ALV.3,-8.4675,,2080.0
65842,1320,01,30/06/1975,ALV.3,-7.1429,,2080.0
65843,1320,01,31/07/1975,ALV.3,-16.9231,,2080.0
65844,1320,01,31/08/1975,ALV.3,-16.6667,,2080.0
65845,1320,01,30/09/1975,ALV.3,-4.4444,,2080.0
65846,1320,01,31/10/1975,ALV.3,16.2791,,2080.0
65847,1320,01,30/11/1975,ALV.3,0.96,,2080.0
65848,1320,01,31/12/1975,ALV.3,6.0,,2080.0
65849,1320,01,31/01/1976,ALV.3,20.7547,,2080.0
65850,1320,01,29/02/1976,ALV.3,4.6875,,2080.0
65851,1320,01,31/03/1976,ALV.3,0.0,,2080.0
