,gvkey,iid,datadate,tic,trt1m,naics,sic,monthly_pct_returns
7218412,184767,90,2010-06-30,BORNY,,312140.0,2085.0,
7218413,184767,90,2010-07-31,BORNY,5.812,312140.0,2085.0,0.058120000000000005
7218414,184767,90,2010-08-31,BORNY,31.1793,312140.0,2085.0,0.311793
7218415,184767,90,2010-09-30,BORNY,42.8571,312140.0,2085.0,0.42857100000000004
7218416,184767,90,2010-10-31,BORNY,26.1207,312140.0,2085.0,0.26120699999999997
7218417,184767,90,2010-11-30,BORNY,-15.2427,312140.0,2085.0,-0.15242699999999998
7218418,184767,90,2010-12-31,BORNY,-16.129,312140.0,2085.0,-0.16129000000000002
7218419,184767,90,2011-01-31,BORNY,33.8462,312140.0,2085.0,0.33846200000000004
7218420,184767,90,2011-02-28,BORNY,-10.7759,312140.0,2085.0,-0.107759
7218421,184767,90,2011-03-31,BORNY,-12.5604,312140.0,2085.0,-0.125604
7218422,184767,90,2011-04-30,BORNY,-14.0884,312140.0,2085.0,-0.140884
7218423,184767,90,2011-05-31,BORNY,-30.3323,312140.0,2085.0,-0.303323
7218424,184767,90,2011-06-30,BORNY,-21.5385,312140.0,2085.0,-0.215385
7218425,184767,90,2011-07-31,BORNY,35.098,312140.0,2085.0,0.35098
7218426,184767,90,2011-08-31,BORNY,-37.3004,312140.0,2085.0,-0.37300400000000006
7218427,184767,90,2011-09-30,BORNY,-24.3056,312140.0,2085.0,-0.243056
7218428,184767,90,2011-10-31,BORNY,33.0275,312140.0,2085.0,0.33027500000000004
7218429,184767,90,2011-11-30,BORNY,-26.8966,312140.0,2085.0,-0.268966
7218430,184767,90,2011-12-31,BORNY,-1.5723,312140.0,2085.0,-0.015723
7218431,184767,90,2012-01-31,BORNY,44.0895,312140.0,2085.0,0.44089500000000004
7218432,184767,90,2012-02-29,BORNY,-24.8337,312140.0,2085.0,-0.248337
7218433,184767,90,2012-03-31,BORNY,-10.9145,312140.0,2085.0,-0.109145
7218434,184767,90,2012-04-30,BORNY,3.9735,312140.0,2085.0,0.039735
7218435,184767,90,2012-05-31,BORNY,-25.7962,312140.0,2085.0,-0.25796199999999997
7218436,184767,90,2012-06-30,BORNY,-9.0129,312140.0,2085.0,-0.090129
7218437,184767,90,2012-07-31,BORNY,-13.2075,312140.0,2085.0,-0.132075
7218438,184767,90,2012-08-31,BORNY,26.087,312140.0,2085.0,0.26087
7218439,184767,90,2012-09-30,BORNY,1.2931,312140.0,2085.0,0.012931
7218440,184767,90,2012-10-31,BORNY,-5.1064,312140.0,2085.0,-0.051064
7218441,184767,90,2012-11-30,BORNY,-23.7668,312140.0,2085.0,-0.237668
7218442,184767,90,2012-12-31,BORNY,-9.4118,312140.0,2085.0,-0.094118
7218443,184767,90,2013-01-31,BORNY,26.6234,312140.0,2085.0,0.266234
