,gvkey,iid,datadate,tic,trt1m,naics,sic,monthly_decimal_returns
682575,4297,01,2006-09-30 00:00:00,KGLJ,6409.091,713290.0,7990.0,64.09091000000001
685035,4313,02,1997-07-31 00:00:00,ELSO,3650.0,721120.0,7990.0,36.5
2791479,15131,01,1997-09-30 00:00:00,3BRAUE,1109.677,312120.0,2082.0,11.09677
3133602,18807,01,2006-01-31 00:00:00,IGMM,189900.0,713290.0,7990.0,1899.0
3213176,19840,01,2003-01-31 00:00:00,BLEG,5900.0,3121.0,2080.0,59.0
3234984,20054,01,2003-12-31 00:00:00,CHCX,1900.0,312120.0,2082.0,19.0
3234989,20054,01,2004-05-31 00:00:00,CHCX,7400.0,312120.0,2082.0,74.0
3235006,20054,01,2005-10-31 00:00:00,CHCX,1800.0,312120.0,2082.0,18.0
3235021,20054,01,2007-01-31 00:00:00,CHCX,4757.143,312120.0,2082.0,47.57143
3235031,20054,01,2007-11-30 00:00:00,CHCX,8233.333,312120.0,2082.0,82.33333
3235041,20054,01,2008-09-30 00:00:00,CHCX,7042.857,312120.0,2082.0,70.42857
3235077,20054,01,2011-09-30 00:00:00,CHCX,9900.0,312120.0,2082.0,99.0
3235101,20054,01,2015-01-31 00:00:00,CHCX,4185.714,312120.0,2082.0,41.85714
3235115,20054,01,2016-03-31 00:00:00,CHCX,4196.0,312120.0,2082.0,41.96
3235172,20054,01,2020-12-31 00:00:00,CHCX,6351.613,312120.0,2082.0,63.516130000000004
3406141,21788,01,2016-12-31 00:00:00,ICNB,2775.0,3121.0,2080.0,27.75
3494269,23019,01,2001-03-31 00:00:00,CGAM,2400.0,713210.0,7990.0,24.0
3494273,23019,01,2001-07-31 00:00:00,CGAM,2400.0,713210.0,7990.0,24.0
3494384,23019,01,2020-06-30 00:00:00,CGAM,5000.0,713210.0,7990.0,50.0
3494387,23019,01,2020-09-30 00:00:00,CGAM,1317.647,713210.0,7990.0,13.17647
3494401,23019,01,2022-01-31 00:00:00,CGAM,9900.0,713210.0,7990.0,99.0
3734265,25347,01,2007-05-31 00:00:00,3BBTCE,1400.0,713210.0,7990.0,14.0
3953739,27975,01,2000-12-31 00:00:00,WNWN,7816.667,713290.0,7990.0,78.16667000000001
4088335,29068,01,2005-01-31 00:00:00,3MBRWQ,39900.0,312120.0,2082.0,399.0
4168766,29768,01,1998-11-30 00:00:00,3STTCE,16566.67,721120.0,7990.0,165.6667
4177933,29867,01,2010-05-31 00:00:00,CCRIQ,1600.0,721120.0,7990.0,16.0
4330743,31401,01,1999-02-28 00:00:00,3NHEI,3900.0,713210.0,7990.0,39.0
4330780,31401,02,2002-03-31 00:00:00,PGMC,1175.0,713210.0,7990.0,11.75
4593310,61197,01,1999-01-31 00:00:00,NTGL,1460.0,713290.0,7990.0,14.6
4593585,61197,01,2022-04-30 00:00:00,NTGL,9900.0,713290.0,7990.0,99.0
4671650,61963,01,2014-02-28 00:00:00,GPLA.1,2870.297,713290.0,7990.0,28.70297
4804167,63414,01,2000-08-31 00:00:00,CIGR,1900.0,312229.0,2100.0,19.0
