,gvkey,iid,datadate,tic,trt1m,naics,sic,monthly_decimal_returns
276967,2332,01,1983-12-31 00:00:00,3BOBR,906.4515,312120.0,2082.0,9.064515
682436,4297,01,1991-02-28 00:00:00,KGLJ,504.8387,713290.0,7990.0,5.048387
682487,4297,01,1999-05-31 00:00:00,KGLJ,900.0,713290.0,7990.0,9.0
682536,4297,01,2003-06-30 00:00:00,KGLJ,900.0,713290.0,7990.0,9.0
682552,4297,01,2004-10-31 00:00:00,KGLJ,900.0,713290.0,7990.0,9.0
682559,4297,01,2005-05-31 00:00:00,KGLJ,900.0,713290.0,7990.0,9.0
682561,4297,01,2005-07-31 00:00:00,KGLJ,900.0,713290.0,7990.0,9.0
682563,4297,01,2005-09-30 00:00:00,KGLJ,900.0,713290.0,7990.0,9.0
682565,4297,01,2005-11-30 00:00:00,KGLJ,900.0,713290.0,7990.0,9.0
682568,4297,01,2006-02-28 00:00:00,KGLJ,900.0,713290.0,7990.0,9.0
682570,4297,01,2006-04-30 00:00:00,KGLJ,900.0,713290.0,7990.0,9.0
682606,4297,01,2009-04-30 00:00:00,KGLJ,900.0,713290.0,7990.0,9.0
685037,4313,02,1997-09-30 00:00:00,ELSO,385.7143,721120.0,7990.0,3.8571429999999998
685065,4313,02,2000-01-31 00:00:00,ELSO,466.6667,721120.0,7990.0,4.666667
685102,4313,02,2003-02-28 00:00:00,ELSO,400.0,721120.0,7990.0,4.0
685188,4313,02,2010-04-30 00:00:00,ELSO,400.0,721120.0,7990.0,4.0
685203,4313,02,2011-07-31 00:00:00,ELSO,900.0,721120.0,7990.0,9.0
1056125,6124,01,2009-03-31 00:00:00,ITGB,718.1818,713210.0,7990.0,7.181818
1056129,6124,01,2009-07-31 00:00:00,ITGB,400.0,713210.0,7990.0,4.0
1056141,6124,01,2010-07-31 00:00:00,ITGB,395.0,713210.0,7990.0,3.95
1715104,9213,90,1999-11-30 00:00:00,SRTKY,466.6667,713290.0,7990.0,4.666667
2290106,12116,02,1990-06-30 00:00:00,GEMX,503.2257,713210.0,7990.0,5.032257
2396907,12763,01,2009-02-28 00:00:00,STJC,500.0,3121.0,2080.0,5.0
2396938,12763,01,2011-09-30 00:00:00,STJC,985.7143,3121.0,2080.0,9.857143
3133571,18807,01,2002-10-31 00:00:00,IGMM,400.0,713290.0,7990.0,4.0
3133598,18807,01,2005-02-28 00:00:00,IGMM,900.0,713290.0,7990.0,9.0
3213142,19840,01,2000-03-31 00:00:00,BLEG,660.0,3121.0,2080.0,6.6
3213256,19840,01,2009-09-30 00:00:00,BLEG,500.0,3121.0,2080.0,5.0
3213278,19840,01,2011-07-31 00:00:00,BLEG,441.6667,3121.0,2080.0,4.416667
3213355,19840,01,2017-12-31 00:00:00,BLEG,564.8837,3121.0,2080.0,5.648836999999999
3234870,20054,01,1993-06-30 00:00:00,CHCX,781.4109,312120.0,2082.0,7.814108999999999
3235034,20054,01,2008-02-29 00:00:00,CHCX,566.6667,312120.0,2082.0,5.666667
3235081,20054,01,2012-01-31 00:00:00,CHCX,500.0,312120.0,2082.0,5.0
3235168,20054,01,2020-08-31 00:00:00,CHCX,566.6667,312120.0,2082.0,5.666667
3235178,20054,01,2021-06-30 00:00:00,CHCX,399.75,312120.0,2082.0,3.9975
3494216,23019,01,1996-10-31 00:00:00,CGAM,892.0635,713210.0,7990.0,8.920634999999999
3494220,23019,01,1997-02-28 00:00:00,CGAM,495.2381,713210.0,7990.0,4.952381
3494348,23019,01,2008-04-30 00:00:00,CGAM,400.0,713210.0,7990.0,4.0
3541353,23624,01C,1999-03-31 00:00:00,DIO.1,400.0,713290.0,7990.0,4.0
3734233,25347,01,2004-09-30 00:00:00,3BBTCE,900.0,713210.0,7990.0,9.0
3734239,25347,01,2005-03-31 00:00:00,3BBTCE,400.0,713210.0,7990.0,4.0
3734263,25347,01,2007-03-31 00:00:00,3BBTCE,800.0,713210.0,7990.0,8.0
3953684,27975,01,1996-05-31 00:00:00,WNWN,462.4999,713290.0,7990.0,4.624999
3953687,27975,01,1996-08-31 00:00:00,WNWN,656.4519,713290.0,7990.0,6.564519000000001
3953737,27975,01,2000-10-31 00:00:00,WNWN,900.0,713290.0,7990.0,9.0
4049284,28749,01,2005-02-28 00:00:00,FLL,408.7719,713210.0,7990.0,4.087719
4055561,28796,01,2021-07-31 00:00:00,THRSF,660.0,721120.0,7990.0,6.6
4088321,29068,01,2003-10-31 00:00:00,3MBRWQ,900.0,312120.0,2082.0,9.0
4088324,29068,01,2004-01-31 00:00:00,3MBRWQ,900.0,312120.0,2082.0,9.0
4088327,29068,01,2004-04-30 00:00:00,3MBRWQ,900.0,312120.0,2082.0,9.0
4088328,29068,01,2004-05-31 00:00:00,3MBRWQ,700.0,312120.0,2082.0,7.0
4134829,29458,01,2004-04-30 00:00:00,HOPR,600.0,713210.0,7990.0,6.0
4162300,29725,01,2020-08-31 00:00:00,GGGRF,488.2353,3121.0,2080.0,4.882353
4177809,29867,01,2000-01-31 00:00:00,CCRIQ,650.0,721120.0,7990.0,6.5
4177857,29867,01,2004-01-31 00:00:00,CCRIQ,900.0,721120.0,7990.0,9.0
4177871,29867,01,2005-03-31 00:00:00,CCRIQ,900.0,721120.0,7990.0,9.0
4177917,29867,01,2009-01-31 00:00:00,CCRIQ,800.0,721120.0,7990.0,8.0
4177921,29867,01,2009-05-31 00:00:00,CCRIQ,400.0,721120.0,7990.0,4.0
4177934,29867,01,2010-06-30 00:00:00,CCRIQ,488.2353,721120.0,7990.0,4.882353
4177945,29867,01,2011-05-31 00:00:00,CCRIQ,600.0,721120.0,7990.0,6.0
4330740,31401,01,1998-11-30 00:00:00,3NHEI,900.0,713210.0,7990.0,9.0
4330794,31401,02,2003-05-31 00:00:00,PGMC,406.6667,713210.0,7990.0,4.066667
4346562,31550,01,2018-11-30 00:00:00,MENB,450.9091,312120.0,2082.0,4.509091000000001
4490443,36379,01,2020-08-31 00:00:00,SBEV,461.7978,3121.0,2080.0,4.617978
4593365,61197,01,2003-12-31 00:00:00,NTGL,950.0,713290.0,7990.0,9.5
4593579,61197,01,2021-10-31 00:00:00,NTGL,650.0,713290.0,7990.0,6.5
4593582,61197,01,2022-01-31 00:00:00,NTGL,400.0,713290.0,7990.0,4.0
4648536,61719,01,2009-04-30 00:00:00,PMID,370.5882,312120.0,2082.0,3.705882
4659428,61825,01,2000-02-29 00:00:00,PCHW,400.0,721120.0,7990.0,4.0
4659475,61825,01,2004-01-31 00:00:00,PCHW,900.0,721120.0,7990.0,9.0
4659531,61825,01,2008-09-30 00:00:00,PCHW,400.0,721120.0,7990.0,4.0
4671447,61963,01,1997-03-31 00:00:00,GPLA.1,750.0,713290.0,7990.0,7.5
4671566,61963,01,2007-02-28 00:00:00,GPLA.1,400.0,713290.0,7990.0,4.0
4671582,61963,01,2008-06-30 00:00:00,GPLA.1,960.0,713290.0,7990.0,9.6
4708438,62340,01C,2002-05-31 00:00:00,ACES.,445.4545,713290.0,7990.0,4.4545449999999995
4708575,62340,01C,2016-08-31 00:00:00,ACES.,400.0,713290.0,7990.0,4.0
4764134,62970,01C,1996-06-30 00:00:00,ALE.1,380.0,312120.0,2082.0,3.8
4804210,63414,01,2004-03-31 00:00:00,CIGR,400.0,312229.0,2100.0,4.0
4898407,64370,01,2002-10-31 00:00:00,IBCO,600.0,312120.0,2082.0,6.0
4898441,64370,01,2005-08-31 00:00:00,IBCO,900.0,312120.0,2082.0,9.0
4898442,64370,01,2005-09-30 00:00:00,IBCO,600.0,312120.0,2082.0,6.0
4898485,64370,01,2009-04-30 00:00:00,IBCO,733.3333,312120.0,2082.0,7.333333
4898497,64370,01,2010-04-30 00:00:00,IBCO,400.0,312120.0,2082.0,4.0
4898508,64370,01,2011-03-31 00:00:00,IBCO,700.0,312120.0,2082.0,7.0
4949296,64866,01,2001-01-31 00:00:00,LWSL,900.0,713210.0,7990.0,9.0
5613175,111322,01,2003-09-30 00:00:00,ITOO,900.0,713290.0,7990.0,9.0
5613183,111322,01,2004-05-31 00:00:00,ITOO,900.0,713290.0,7990.0,9.0
5672792,114221,01,2016-12-31 00:00:00,DNBD,728.1818,3121.0,2080.0,7.2818179999999995
5673859,114283,01,1998-10-31 00:00:00,UFBV,900.0,3121.0,2080.0,9.0
5673874,114283,01,2000-01-31 00:00:00,UFBV,412.5,3121.0,2080.0,4.125
5676395,114398,01,2004-01-31 00:00:00,OSRI,500.0,713210.0,7990.0,5.0
5676396,114398,01,2004-02-29 00:00:00,OSRI,483.3333,713210.0,7990.0,4.833333
5725550,117014,01,2001-06-30 00:00:00,SNWR,425.0,713290.0,7990.0,4.25
5725595,117014,01,2005-03-31 00:00:00,SNWR,405.0,713290.0,7990.0,4.05
5725676,117014,01,2012-09-30 00:00:00,SNWR,625.0,713290.0,7990.0,6.25
5725757,117014,01,2019-06-30 00:00:00,SNWR,376.0,713290.0,7990.0,3.76
