,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Sin_Portfolio_Excess_Returns,USREC
1962-02-28,0.01644390000000001,0.0181,-0.0115,0.0082,0.002,-0.0101,0.014443900000000011,0
1962-03-31,-0.01194453846153847,-0.0068,0.0052,-0.0138,0.002,0.0184,-0.01394453846153847,0
1962-04-30,-0.07359407692307691,-0.0659,-0.007,0.0003,0.0022,0.0291,-0.07579407692307691,0
1962-05-31,-0.13806607692307693,-0.0865,-0.0334,0.0277,0.0024,0.0041,-0.14046607692307694,0
1962-06-30,-0.052827076923076914,-0.0847,-0.0059,0.0255,0.002,0.0646,-0.054827076923076916,0
1962-07-31,0.04469700000000001,0.0628,0.0152,-0.0341,0.0027,0.0052,0.04199700000000001,0
1962-08-31,0.02940453846153846,0.0213,0.0122,-0.012,0.0023,-0.006,0.02710453846153846,0
1962-09-30,-0.0694572857142857,-0.0522,-0.0242,0.0128,0.0021,0.0395,-0.0715572857142857,0
1962-10-31,-0.04927214285714285,-0.0005,-0.0397,0.013,0.0025,0.0076,-0.05177214285714285,0
1962-11-30,0.12626371428571426,0.1087,0.0261,0.0095,0.002,-0.0716,0.12426371428571426,0
1962-12-31,0.0065133571428571575,0.0101,-0.038,0.0036,0.0023,0.0589,0.004213357142857158,0
1963-01-31,0.08801849999999997,0.0493,0.0308,0.0221,0.0025,-0.0211,0.08551849999999997,0
1963-02-28,-0.017918357142857142,-0.0238,0.0048,0.0218,0.0023,0.0253,-0.020218357142857142,0
1963-03-31,0.026505357142857143,0.0308,-0.0259,0.0206,0.0023,0.0162,0.024205357142857143,0
1963-04-30,0.06542914285714285,0.0451,-0.0134,0.01,0.0025,-0.0009,0.06292914285714285,0
1963-05-31,0.007445214285714277,0.0176,0.0113,0.0254,0.0024,0.0033,0.005045214285714278,0
1963-06-30,-0.026622499999999986,-0.02,-0.0027,0.0075,0.0023,0.0121,-0.028922499999999986,0
1963-07-31,-0.009421714285714276,-0.0039,-0.0045,-0.0097,0.0027,0.009,-0.012121714285714277,0
1963-08-31,0.04299207142857141,0.0507,-0.0098,0.018,0.0025,0.0101,0.040492071428571405,0
1963-09-30,-0.008090142857142857,-0.0157,-0.0033,0.0013,0.0027,0.0019,-0.010790142857142856,0
1963-10-31,0.01666457142857142,0.0253,-0.0058,-0.001,0.0029,0.0312,0.013764571428571421,0
1963-11-30,-0.03559799999999996,-0.0085,-0.0117,0.0175,0.0027,-0.0074,-0.038297999999999964,0
1963-12-31,0.03829028571428571,0.0183,-0.0216,-0.0002,0.0029,0.0175,0.03539028571428571,0
1964-01-31,0.015995571428571435,0.0224,-0.0011,0.0148,0.003,0.0086,0.012995571428571436,0
1964-02-29,0.042859571428571414,0.0154,0.0011,0.0281,0.0026,0.0026,0.040259571428571415,0
1964-03-31,0.03846542857142854,0.0141,0.0087,0.034,0.0031,0.0075,0.03536542857142854,0
1964-04-30,0.02206955555555557,0.001,-0.0135,-0.0067,0.0029,-0.0058,0.01916955555555557,0
1964-05-31,0.013699944444444456,0.0142,-0.0086,0.0186,0.0026,0.0257,0.011099944444444456,0
1964-06-30,0.03055827777777777,0.0127,-0.0012,0.0062,0.003,0.0046,0.027558277777777772,0
1964-07-31,0.02119588888888888,0.0174,0.0024,0.0075,0.003,-0.0035,0.01819588888888888,0
1964-08-31,0.004784666666666668,-0.0144,0.0016,0.0008,0.0028,-0.0022,0.001984666666666668,0
1964-09-30,0.02713699999999999,0.0269,-0.0054,0.017,0.0028,-0.0041,0.02433699999999999,0
1964-10-31,0.009650111111111113,0.0059,0.0042,0.0117,0.0029,0.0008,0.006750111111111113,0
1964-11-30,-0.025862444444444434,0.0,0.0069,-0.0196,0.0029,0.0103,-0.028762444444444434,0
1964-12-31,-0.0009570555555555363,0.0003,-0.0035,-0.0248,0.0031,-0.0074,-0.004057055555555536,0
1965-01-31,0.08891494444444442,0.0354,0.027,0.0012,0.0028,-0.0144,0.08611494444444442,0
1965-02-28,0.01040671428571428,0.0044,0.0355,0.0011,0.003,0.0032,0.0074067142857142795,0
1965-03-31,0.020131904761904764,-0.0134,0.0189,0.0103,0.0036,0.0015,0.016531904761904765,0
1965-04-30,0.015697952380952375,0.0311,0.011,0.0066,0.0031,0.0263,0.012597952380952375,0
1965-05-31,0.01772442857142857,-0.0077,0.0011,-0.0161,0.0031,0.006,0.014624428571428571,0
1965-06-30,-0.06296390476190473,-0.0551,-0.0434,0.0059,0.0035,-0.0313,-0.06646390476190474,0
1965-07-31,0.01685414285714286,0.0143,0.0089,0.022,0.0031,0.041,0.013754142857142859,0
1965-08-31,0.03126704761904762,0.0273,0.0284,-0.01,0.0033,0.0258,0.027967047619047617,0
1965-09-30,0.004570857142857148,0.0286,0.0064,-0.0013,0.0031,0.033,0.0014708571428571483,0
1965-10-31,0.017482190476190478,0.026,0.0252,0.0156,0.0031,0.0346,0.014382190476190477,0
1965-11-30,-0.01560190476190476,-0.0003,0.0468,0.0015,0.0035,0.0445,-0.01910190476190476,0
1965-12-31,0.02233814285714285,0.0101,0.0206,0.0203,0.0033,0.0012,0.01903814285714285,0
1966-01-31,0.04172781818181817,0.0072,0.0384,0.0356,0.0038,0.0539,0.037927818181818174,0
1966-02-28,-0.014455730769230764,-0.0121,0.044,0.0033,0.0035,0.0457,-0.017955730769230765,0
1966-03-31,-0.02163807692307692,-0.0251,0.0099,-0.0198,0.0038,0.0142,-0.02543807692307692,0
1966-04-30,0.0045958888888888855,0.0214,0.0343,-0.0046,0.0034,0.0628,0.0011958888888888857,0
1966-05-31,-0.060530033333333316,-0.0566,-0.046,-0.0163,0.0041,-0.047,-0.06463003333333332,0
1966-06-30,-0.016308666666666666,-0.0144,0.0103,0.005,0.0038,0.0325,-0.020108666666666667,0
1966-07-31,-0.02176363333333333,-0.0163,-0.0036,0.0095,0.0035,-0.0134,-0.02526363333333333,0
1966-08-31,-0.08224473333333332,-0.0791,-0.0327,0.0043,0.0041,-0.0214,-0.08634473333333333,0
1966-09-30,-0.007380766666666658,-0.0106,-0.0104,0.0056,0.004,-0.0184,-0.011380766666666658,0
1966-10-31,0.01257726666666666,0.0386,-0.0652,0.0269,0.0045,-0.0526,0.008077266666666659,0
1966-11-30,0.005348400000000007,0.014,0.0424,-0.0469,0.004,0.0572,0.0013484000000000065,0
1966-12-31,0.010032233333333345,0.0013,0.0197,-0.0119,0.004,0.0106,0.006032233333333345,0
1967-01-31,0.13892949999999998,0.0815,0.0832,0.0227,0.0043,-0.0693,0.13462949999999999,0
1967-02-28,0.021201580645161294,0.0078,0.0335,-0.0222,0.0036,0.0352,0.017601580645161295,0
1967-03-31,0.08737190322580643,0.0399,0.0155,0.0037,0.0039,0.0153,0.08347190322580643,0
1967-04-30,0.03634612500000001,0.0389,0.0063,-0.0248,0.0032,0.0059,0.033146125000000005,0
1967-05-31,0.009867124999999996,-0.0433,0.019,0.0109,0.0033,0.0072,0.006567124999999996,0
1967-06-30,0.05138456249999999,0.0241,0.0593,0.0085,0.0027,0.06,0.048684562499999987,0
1967-07-31,0.08438421874999999,0.0458,0.0312,0.0273,0.0031,-0.0107,0.08128421874999998,0
1967-08-31,0.019080343749999992,-0.0089,0.0042,0.0144,0.0031,-0.0138,0.015980343749999994,0
1967-09-30,0.011659625000000002,0.0311,0.0306,-0.025,0.0032,0.0252,0.008459625000000002,0
1967-10-31,0.0009563124999999997,-0.0309,0.0146,-0.033,0.0039,0.0367,-0.0029436875,0
1967-11-30,-0.014478906250000008,0.0037,0.0021,-0.017,0.0036,0.0126,-0.01807890625000001,0
1967-12-31,0.03590409375,0.0305,0.0573,-0.0053,0.0033,0.0325,0.03260409375,0
1968-01-31,0.037555125,-0.0406,0.0392,0.048,0.004,-0.047,0.033555125000000005,0
1968-02-29,-0.026557124999999997,-0.0375,-0.0294,0.0128,0.0039,-0.0343,-0.030457124999999998,0
1968-03-31,0.021783875,0.002,-0.0134,-0.0059,0.0038,0.0323,0.017983875,0
1968-04-30,0.09029584375,0.0905,0.0568,-0.0113,0.0043,0.0509,0.08599584375,0
1968-05-31,0.07476565624999998,0.0228,0.064,0.0085,0.0045,0.038,0.07026565624999997,0
1968-06-30,0.015842093750000005,0.0069,-0.0019,0.0073,0.0043,-0.019,0.011542093750000005,0
1968-07-31,-0.03282287499999999,-0.0272,-0.0136,0.0539,0.0048,-0.0088,-0.037622874999999986,0
1968-08-31,0.05580753124999999,0.0134,0.0234,0.0101,0.0042,0.0189,0.05160753124999999,0
1968-09-30,0.05860690624999999,0.0403,0.028,0.003,0.0043,-0.0065,0.054306906249999995,0
1968-10-31,0.028627562500000002,0.0042,-0.0048,0.0286,0.0044,-0.0146,0.0242275625,0
1968-11-30,0.048546562499999994,0.0543,0.0234,-0.0092,0.0042,0.0175,0.04434656249999999,0
