PERMNO,date,TICKER,DIVAMT
10225,31/01/1962,,
10225,28/02/1962,,0.75000
10225,30/03/1962,,
10225,30/04/1962,,
10225,31/05/1962,,0.37500
10225,31/05/1962,,0.00000
10225,29/06/1962,,
10225,31/07/1962,AT,
10225,31/08/1962,AT,0.37500
10225,28/09/1962,AT,
10225,31/10/1962,AT,
10225,30/11/1962,AT,0.37500
10225,31/12/1962,AT,
10225,31/01/1963,AT,
10225,28/02/1963,AT,0.37500
10225,29/03/1963,AT,
10225,30/04/1963,AT,
10225,31/05/1963,AT,0.37500
10225,28/06/1963,AT,
10225,31/07/1963,AT,
10225,30/08/1963,AT,0.37500
10225,30/09/1963,AT,
10225,31/10/1963,AT,
10225,29/11/1963,AT,0.37500
10225,31/12/1963,AT,
10225,31/01/1964,AT,
10225,28/02/1964,AT,0.40000
10225,31/03/1964,AT,
10225,30/04/1964,AT,
10225,28/05/1964,AT,0.40000
10225,30/06/1964,AT,
10225,31/07/1964,AT,
10225,31/08/1964,AT,0.40000
10225,30/09/1964,AT,
10225,30/10/1964,AT,
10225,30/11/1964,AT,0.40000
10225,31/12/1964,AT,
10225,29/01/1965,AT,
10225,26/02/1965,AT,0.40000
10225,31/03/1965,AT,
10225,30/04/1965,AT,
10225,28/05/1965,AT,0.40000
10225,30/06/1965,AT,
10225,30/07/1965,AT,
10225,31/08/1965,AT,0.42500
10225,30/09/1965,AT,
10225,29/10/1965,AT,
10225,30/11/1965,AT,0.42500
10225,31/12/1965,AT,
10225,31/01/1966,AT,
10225,28/02/1966,AT,0.45000
10225,31/03/1966,AT,
10225,29/04/1966,AT,
10225,31/05/1966,AT,0.45000
10225,31/05/1966,AT,0.00000
10225,30/06/1966,AT,
10225,29/07/1966,AT,
10225,31/08/1966,AT,0.45000
10225,30/09/1966,AT,
10225,31/10/1966,AT,
10225,30/11/1966,AT,0.45000
10225,30/12/1966,AT,
10225,31/01/1967,AT,0.00000
10225,28/02/1967,AT,0.45000
10225,31/03/1967,AT,
10225,28/04/1967,AT,
10225,31/05/1967,AT,0.45000
10225,30/06/1967,AT,
10225,31/07/1967,AT,
