,Date,ABEV,ABUD,ABV,ABW,ACCOB,ADC,ADSO,AED,AFTI,ALEC,AMB,AP,AT,BACA,BAS,BBR,BBRL,BEAM,BF,BFD,BJD,BREW,BRH,BTLR,BUD,CAR,CCU,CCUUY,CD,CDG,CDL,CE,CEDC,CEQ,CFB,CFN,CGAS,CHLN,CITA,CKB,CLBGA,CLCH,CLDR,CN,CNB,CNBT,CREG,CU,CUCD,CUE,CUEI,DCD,DCS,DEAL,DEO,DIL,DR,DRE,DWP,FAL,FALB,FO,FTRI,GAMA,GBL,GDS,GENBB,GGE,GHB,GRM,GWT,HAN,HBL,HIR,HIRE,HOOK,HTC,HTCC,HTNA,JACQ,KNBWY,LDCO,LONE,LQU,MDI,MGPI,MLB,MWGP,NBW,NDC,NDTA,NRD,OLYB,PABT,PFB,PFFB,PTBC,RAIN,RCI,RG,RGLD,RKY,ROX,RUM,RUP,SAM,SBR,SEB,SFR,SFS,SH,SLZ,SMS,SNMA,STCO,STL,STN,STU,STZ,SWAY,SXC,TAP,TFI,THTR,TYLR,URS,VCGH,VCO,VO,WINEA,WINEB
0,1962-08-31,,,,,,,,,,,,,0.375,,,,,,0.125,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.08353,,,,,,,,0.2784,,,0.054,0.3,0.4,,,,0.2,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1962-09-28,,,,,,,,,,,,0.1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325,,,,,,,,,,,,,0.1,0.3714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.075,0.25,,0.14,,,,,,,,,,,,,,,,,,,,,,
2,1962-10-31,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
3,1962-11-30,,,,,,,,,,,,,0.375,,,,,,0.125,,,,,,,,,,,,0.46485,,,,,,,,,,,,,,0.09285,,,,,,,,0.4638,,,,0.3,0.4,,,,0.2,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1962-12-31,,,,,,0.3,,,,,,0.1,,,,,,,,0.1,0.2,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,,0.325,,,,,,,,,,,,,0.1,0.37192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.075,0.15,,0.14,,,,,,,,,,,,,,,,,,,,,,
5,1963-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,0.0,,,
6,1963-02-28,,,,,,,,,,,,,0.375,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,0.09281,,,,,,,,0.41778,,,,0.3,0.4,,,,0.2,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1963-03-29,,,,,,,,,,,,0.1,,,,,,,,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.1,0.37084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.075,0.25,,0.15,,,,,,,,,,,,,,,,,,,,,,
8,1963-04-30,,,,,,0.3,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
9,1963-05-31,,,,,,,,,,,,,0.375,,,,,,0.125,,,,,,,,,,,,0.4646,,,,,,,,,,,,,,0.09276,,,,,,,,0.41742,,,,0.3,0.4,,,,0.2,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
