,ABEV,ABUD,ABV,ABW,ACCOB,ADC,ADSO,AED,AFTI,BACA,BAS,BBR,BBRL,BEAM,BEER,BF,BFD,BJD,BORN,BREW,BRH,BUD,CCU,CDB,CDG,CDL,CEDC,CFN,CGAS,CHLN,CKB,CNB,CNWN,CREG,CU,CUE,DCS,DEO,DIL,DR,DRE,FAL,FALB,FO,GBL,GDS,GENBB,GHB,GRRR,GWT,HAN,HBL,HIR,HOOK,HTC,IBCO,JACQ,KNBWY,LONE,LQU,MGPI,MLB,MWGP,NBW,NDC,OLYB,PABT,PFB,PTBC,PTT,RAIN,RG,RGLD,RKY,ROX,RUM,RUP,SAM,SBR,SFR,SH,SLZ,STZ,SXC,TAP,TBVT,TFI,TFZ,THT,THTR,TYLR,VCO,VO,FARM,GMCR,JVA,PEET,Excess Return on the Market,SMB,HML,MOM,USREC
31/07/1962,,,,,,37,,,,,,,,,,,22.625,37.75,,,,,,,,14.875,,,,,,8.5,,,,,39.75,,4.625,24.875,23.5,32.5,,,1.25,16,,,,,,17.75,45.375,,,,,,,,,,,4.125,,,,2.625,,,,,,,,,13.25,,18.25,,19.25,,,,,,,,,,,,,,,,,0.0628,0.0163,-0.0357,0.0055,0
31/08/1962,,,,,,37.25,,,,,,,,,,,23.9375,39,,,,,,,,16,,,,,,9,,,,,40,,4.46875,24.625,26.25,32.25,,,1.375,16.375,,,,,,18.375,50.125,,,,,,,,,,,4.0625,,,,2.875,,,,,,,,,13.3125,,17.5,,18.75,,,,,,,,,,,,,,,,,0.0213,0.0125,-0.0121,-0.0058,0
30/09/1962,,,,,,37.25,,,,,,,,,,,23.5,35.125,,,,,,,,15.5625,,,,,,8.5,,,,,38,,4.5,22.75,22.25,30,,,1.125,16.8125,,,,,,16.375,47.25,,,,,,,,,,,4.0625,,,,2.75,,,,,,,,,12.6875,,17.25,,17.875,,,,,,,,,,,,,,,,,-0.0522,-0.0248,0.0134,0.0395,0
31/10/1962,,,,,,33.375,,,,,,,,,,,22.75,33.25,,,,,,,,14.875,,,,,,9,,,,,39.125,,4.78125,22,22,28.75,,,0.625,17,,,,,,15.625,46,,,,,,,,,,,4.1875,,,,2.375,,,,,,,,,11.6875,,17.25,,16.75,,,,,,,,,,,,,,,,,-0.0005,-0.0401,0.0135,0.0075,0
30/11/1962,,,,2.5,,39.625,,,,,,,,,,,23.5,39.625,,,,,,,,15.25,,,,,,9.625,,,,,43.75,,4.9375,24.375,22.25,31.125,,,,18,,,,,,18.125,50.375,,,,,,,,,,,4.0625,,,,,,,,,,,,,11.9375,,17.5,,20.375,,,,,,,,,,,,,,,,,0.1087,0.0259,0.0099,-0.0717,0
31/12/1962,,,,2.5,,38,,,,,,,,,,,22.25,38.125,,,,,,,,15.375,,,,,,10,,,,,44.25,,4.625,24.25,22.5,30.25,,,,16.375,,,,,,16.75,54.75,,,,,,,,,,,4.125,,,,,,,,,,,,,12.125,,16.875,,18.625,,,,,,,,,,,,,,,,,0.0101,-0.038,0.0035,0.0588,0
31/01/1963,,,,3,,42.875,,,,,,,,,,,25.25,41,,,,,,,,16.375,,,,,,9.875,,,,,46,,4.4375,25.625,25,33.5,,,,19.75,,,,,,19.375,54.875,,,,,,,,,,,4.0625,,,,,,,,,,,,,12.625,,16.875,,21,,,,,,,,,,,,,,,,,0.0493,0.0312,0.0217,-0.021,0
28/02/1963,,,,2.875,,42,,,,,,,,,,,26,37,,,,,,,,16.25,,,,,,9.625,,,,,45.25,,4.65625,24,24.5,34.625,,,,19,,,,,,18.75,51.25,,,,,,,,,,,4.0625,,,,,,,,,,,,,13.75,,17.25,,19.25,,,,,,,,,,,,,,,,,-0.0238,0.0046,0.022,0.0252,0
31/03/1963,,,,2.875,,40.75,,,,,,,,,,,25.375,36.375,,,,,,,,15.875,,,,,,9.625,,,,,46.1875,,4.53125,25.5,23.625,35.75,,,,17.375,,,,,,18.5,55.5,,,,,,,,,,,4.0625,,,,,,,,,,,,,11.875,,17.625,,19.625,,,,,,,16.5,,,,,,,,,,0.0308,-0.0248,0.019,0.0156,0
30/04/1963,,,,3,,38.75,,,,,,,,,,,28,38.25,,,,,,,,16.4375,,,,,,10.25,,,,,47.625,,4.375,25.5,24.5,36.5,,,,16.625,,,,,,21.125,54,,,,,,,,,,,4.0625,,,,,,,,,,,,,12.5,,17.3125,,20,,,,,,,11.875,,,,,,,,,,0.0451,-0.0135,0.01,-0.0008,0
