date,ABEV,ABUD,ABV,ABW,ACCOB,ADC,ADSO,AED,AFTI,ALEC,AMB,AP,AT,BACA,BAS,BBR,BBRL,BEAM,BF,BFD,BJD,BREW,BRH,BTLR,BUD,CAR,CCU,CCUUY,CD,CDG,CDL,CE,CEDC,CEQ,CFB,CFN,CGAS,CHLN,CITA,CKB,CLBGA,CLCH,CLDR,CN,CNB,CNBT,CREG,CU,CUCD,CUE,CUEI,DCD,DCS,DEAL,DEO,DIL,DR,DRE,DWP,FAL,FALB,FO,FTRI,GAMA,GBL,GDS,GENBB,GGE,GHB,GRM,GWT,HAN,HBL,HIR,HIRE,HOOK,HTC,HTCC,HTNA,JACQ,KNBWY,LDCO,LONE,LQU,MDI,MGPI,MLB,MWGP,NBW,NDC,NDTA,NRD,OLYB,PABT,PFB,PFFB,PTBC,RAIN,RCI,RG,RGLD,RKY,ROX,RUM,RUP,SAM,SBR,SEB,SFR,SFS,SH,SLZ,SMS,SNMA,STCO,STL,STN,STU,STZ,SWAY,SXC,TAP,TFI,THTR,TYLR,URS,VCGH,VCO,VO,WINEA,WINEB
1962-09-28,,,,,,,,,,,,0.1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325,,,,,,,,,,,,,0.1,0.3714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.075,0.25,,0.14,,,,,,,,,,,,,,,,,,,,,,
1962-10-31,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
1962-11-30,,,,,,,,,,,,,0.375,,,,,,0.125,,,,,,,,,,,,0.46485,,,,,,,,,,,,,,0.09285,,,,,,,,0.4638,,,,0.3,0.4,,,,0.2,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-12-31,,,,,,0.3,,,,,,0.1,,,,,,,,0.1,0.2,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,,0.325,,,,,,,,,,,,,0.1,0.37192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.075,0.15,,0.14,,,,,,,,,,,,,,,,,,,,,,
1963-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,0.0,,,
1963-02-28,,,,,,,,,,,,,0.375,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,0.09281,,,,,,,,0.41778,,,,0.3,0.4,,,,0.2,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-03-29,,,,,,,,,,,,0.1,,,,,,,,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.1,0.37084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.075,0.25,,0.15,,,,,,,,,,,,,,,,,,,,,,
1963-04-30,,,,,,0.3,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
1963-05-31,,,,,,,,,,,,,0.375,,,,,,0.125,,,,,,,,,,,,0.4646,,,,,,,,,,,,,,0.09276,,,,,,,,0.41742,,,,0.3,0.4,,,,0.2,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-06-28,,,,,,0.3,,,,,,0.1,,,,,,,,0.0,0.2,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.15,0.37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.075,0.25,,0.15,,,,,,,,,,,,,,,,,,,,,,
