,gvkey,iid,datadate,tic,trt1m,naics,sic,monthly_decimal_returns
211513,2030,01,2013-06-30 00:00:00,VMPT,-60.0,312120.0,2082.0,-0.6
211516,2030,01,2013-09-30 00:00:00,VMPT,-75.0,312120.0,2082.0,-0.75
276981,2332,01,1999-12-31 00:00:00,3BOBR,-80.0,312120.0,2082.0,-0.8
276990,2332,01,2000-09-30 00:00:00,3BOBR,-60.0,312120.0,2082.0,-0.6
276993,2332,01,2000-12-31 00:00:00,3BOBR,-66.6667,312120.0,2082.0,-0.666667
276998,2332,01,2001-05-31 00:00:00,3BOBR,-60.0,312120.0,2082.0,-0.6
277000,2332,01,2001-07-31 00:00:00,3BOBR,-78.5714,312120.0,2082.0,-0.785714
482874,3311,01,1984-01-31 00:00:00,PURW,-51.1111,311942.0,2080.0,-0.511111
482919,3311,01,1987-10-31 00:00:00,PURW,-52.1,311942.0,2080.0,-0.521
483108,3311,01,2003-07-31 00:00:00,PURW,-53.0303,311942.0,2080.0,-0.530303
682387,4297,01,1987-01-31 00:00:00,KGLJ,-57.9125,713290.0,7990.0,-0.579125
682498,4297,01,2000-04-30 00:00:00,KGLJ,-60.0,713290.0,7990.0,-0.6
682516,4297,01,2001-10-31 00:00:00,KGLJ,-80.0,713290.0,7990.0,-0.8
682532,4297,01,2003-02-28 00:00:00,KGLJ,-80.0,713290.0,7990.0,-0.8
682537,4297,01,2003-07-31 00:00:00,KGLJ,-90.0,713290.0,7990.0,-0.9
682553,4297,01,2004-11-30 00:00:00,KGLJ,-90.0,713290.0,7990.0,-0.9
682560,4297,01,2005-06-30 00:00:00,KGLJ,-90.0,713290.0,7990.0,-0.9
682562,4297,01,2005-08-31 00:00:00,KGLJ,-90.0,713290.0,7990.0,-0.9
682564,4297,01,2005-10-31 00:00:00,KGLJ,-90.0,713290.0,7990.0,-0.9
682567,4297,01,2006-01-31 00:00:00,KGLJ,-90.0,713290.0,7990.0,-0.9
682569,4297,01,2006-03-31 00:00:00,KGLJ,-90.0,713290.0,7990.0,-0.9
682571,4297,01,2006-05-31 00:00:00,KGLJ,-95.0,713290.0,7990.0,-0.95
682577,4297,01,2006-11-30 00:00:00,KGLJ,-77.3333,713290.0,7990.0,-0.7733329999999999
682592,4297,01,2008-02-29 00:00:00,KGLJ,-96.2821,713290.0,7990.0,-0.962821
682594,4297,01,2008-04-30 00:00:00,KGLJ,-60.0,713290.0,7990.0,-0.6
682596,4297,01,2008-06-30 00:00:00,KGLJ,-86.6667,713290.0,7990.0,-0.8666670000000001
682598,4297,01,2008-08-31 00:00:00,KGLJ,-80.0,713290.0,7990.0,-0.8
682599,4297,01,2008-09-30 00:00:00,KGLJ,-90.0,713290.0,7990.0,-0.9
685023,4313,02,1996-07-31 00:00:00,ELSO,-88.0,721120.0,7990.0,-0.88
685034,4313,02,1997-06-30 00:00:00,ELSO,-82.6087,721120.0,7990.0,-0.826087
685042,4313,02,1998-02-28 00:00:00,ELSO,-60.7238,721120.0,7990.0,-0.6072379999999999
685052,4313,02,1998-12-31 00:00:00,ELSO,-59.157,721120.0,7990.0,-0.5915699999999999
685060,4313,02,1999-08-31 00:00:00,ELSO,-58.2667,721120.0,7990.0,-0.582667
685067,4313,02,2000-03-31 00:00:00,ELSO,-72.9167,721120.0,7990.0,-0.729167
685069,4313,02,2000-05-31 00:00:00,ELSO,-58.1473,721120.0,7990.0,-0.581473
685091,4313,02,2002-03-31 00:00:00,ELSO,-85.7143,721120.0,7990.0,-0.857143
685101,4313,02,2003-01-31 00:00:00,ELSO,-57.1429,721120.0,7990.0,-0.571429
685105,4313,02,2003-05-31 00:00:00,ELSO,-64.2857,721120.0,7990.0,-0.642857
685117,4313,02,2004-05-31 00:00:00,ELSO,-73.3333,721120.0,7990.0,-0.7333329999999999
685184,4313,02,2009-12-31 00:00:00,ELSO,-80.0,721120.0,7990.0,-0.8
685189,4313,02,2010-05-31 00:00:00,ELSO,-70.0,721120.0,7990.0,-0.7
685206,4313,02,2011-10-31 00:00:00,ELSO,-97.5,721120.0,7990.0,-0.975
821774,4984,01,1981-09-30 00:00:00,GATI.,-53.6,713290.0,7990.0,-0.536
1056078,6124,01,2005-04-30 00:00:00,ITGB,-51.6,713210.0,7990.0,-0.516
1056096,6124,01,2006-10-31 00:00:00,ITGB,-58.8235,713210.0,7990.0,-0.5882350000000001
1056106,6124,01,2007-08-31 00:00:00,ITGB,-70.0,713210.0,7990.0,-0.7
1056120,6124,01,2008-10-31 00:00:00,ITGB,-52.0,713210.0,7990.0,-0.52
1056122,6124,01,2008-12-31 00:00:00,ITGB,-85.7143,713210.0,7990.0,-0.857143
1056127,6124,01,2009-05-31 00:00:00,ITGB,-79.1667,713210.0,7990.0,-0.791667
1056130,6124,01,2009-08-31 00:00:00,ITGB,-65.0,713210.0,7990.0,-0.65
1056132,6124,01,2009-10-31 00:00:00,ITGB,-61.1111,713210.0,7990.0,-0.611111
1056143,6124,01,2010-09-30 00:00:00,ITGB,-78.7879,713210.0,7990.0,-0.7878789999999999
1487611,8130,01,1977-03-31 00:00:00,OLYB,-56.8182,,2082.0,-0.568182
1715039,9213,90,1987-10-31 00:00:00,SRTKY,-51.8519,713290.0,7990.0,-0.518519
1715056,9213,90,1989-03-31 00:00:00,SRTKY,-52.192,713290.0,7990.0,-0.52192
2290098,12116,02,1986-07-31 00:00:00,GEMX,-66.8449,713210.0,7990.0,-0.668449
2396885,12763,01,1990-11-30 00:00:00,STJC,-69.541,3121.0,2080.0,-0.69541
2396910,12763,01,2009-05-31 00:00:00,STJC,-66.6667,3121.0,2080.0,-0.666667
2396920,12763,01,2010-03-31 00:00:00,STJC,-66.6667,3121.0,2080.0,-0.666667
2396928,12763,01,2010-11-30 00:00:00,STJC,-84.2857,3121.0,2080.0,-0.8428570000000001
2396929,12763,01,2010-12-31 00:00:00,STJC,-54.5455,3121.0,2080.0,-0.545455
2396935,12763,01,2011-06-30 00:00:00,STJC,-77.2727,3121.0,2080.0,-0.772727
2396943,12763,01,2012-02-29 00:00:00,STJC,-99.2105,3121.0,2080.0,-0.992105
2497034,13433,01,1987-11-30 00:00:00,ACHLF,-55.516,3121.0,2080.0,-0.55516
2506358,13486,01,1987-10-31 00:00:00,PLAY.,-52.6316,713210.0,7990.0,-0.526316
2659218,14418,01,2009-02-28 00:00:00,MGM,-56.25,721120.0,7990.0,-0.5625
2659351,14418,01,2020-03-31 00:00:00,MGM,-51.3436,721120.0,7990.0,-0.513436
2791472,15131,01,1997-02-28 00:00:00,3BRAUE,-58.4,312120.0,2082.0,-0.584
2791475,15131,01,1997-05-31 00:00:00,3BRAUE,-55.516,312120.0,2082.0,-0.55516
2791478,15131,01,1997-08-31 00:00:00,3BRAUE,-87.6,312120.0,2082.0,-0.8759999999999999
2791483,15131,01,1998-05-31 00:00:00,3BRAUE,-79.8722,312120.0,2082.0,-0.798722
2791487,15131,01,1998-09-30 00:00:00,3BRAUE,-80.1282,312120.0,2082.0,-0.801282
2791488,15131,01,1998-10-31 00:00:00,3BRAUE,-67.7419,312120.0,2082.0,-0.677419
2800531,15191,01,1989-10-31 00:00:00,MRSIE,-62.4,713210.0,7990.0,-0.624
2877274,15800,01,1990-11-30 00:00:00,DHCC,-53.9409,721120.0,7990.0,-0.539409
2877413,15800,01,2002-06-30 00:00:00,DHCC,-54.4554,721120.0,7990.0,-0.544554
2877602,15800,01,2019-03-31 00:00:00,DHCC,-66.6667,721120.0,7990.0,-0.666667
3039614,17501,01,2015-09-30 00:00:00,THST,-50.2565,312130.0,2084.0,-0.502565
3102288,18398,01,2014-05-31 00:00:00,EAST,-65.0,312140.0,2085.0,-0.65
3102311,18398,01,2016-04-30 00:00:00,EAST,-66.6667,312140.0,2085.0,-0.666667
3102358,18398,01,2020-03-31 00:00:00,EAST,-61.204,312140.0,2085.0,-0.61204
