dateff,rf
31/01/1962,0.00240
28/02/1962,0.00200
30/03/1962,0.00200
30/04/1962,0.00220
31/05/1962,0.00240
29/06/1962,0.00200
31/07/1962,0.00270
31/08/1962,0.00230
28/09/1962,0.00210
31/10/1962,0.00250
30/11/1962,0.00200
31/12/1962,0.00230
31/01/1963,0.00250
28/02/1963,0.00230
29/03/1963,0.00230
30/04/1963,0.00250
31/05/1963,0.00240
28/06/1963,0.00230
31/07/1963,0.00270
30/08/1963,0.00250
30/09/1963,0.00270
31/10/1963,0.00290
29/11/1963,0.00270
31/12/1963,0.00290
31/01/1964,0.00300
28/02/1964,0.00260
31/03/1964,0.00310
30/04/1964,0.00290
28/05/1964,0.00260
30/06/1964,0.00300
31/07/1964,0.00300
31/08/1964,0.00280
30/09/1964,0.00280
30/10/1964,0.00290
30/11/1964,0.00290
31/12/1964,0.00310
29/01/1965,0.00280
26/02/1965,0.00300
31/03/1965,0.00360
30/04/1965,0.00310
28/05/1965,0.00310
30/06/1965,0.00350
30/07/1965,0.00310
31/08/1965,0.00330
30/09/1965,0.00310
29/10/1965,0.00310
30/11/1965,0.00350
31/12/1965,0.00330
31/01/1966,0.00380
28/02/1966,0.00350
31/03/1966,0.00380
29/04/1966,0.00340
31/05/1966,0.00410
30/06/1966,0.00380
29/07/1966,0.00350
31/08/1966,0.00410
30/09/1966,0.00400
31/10/1966,0.00450
30/11/1966,0.00400
30/12/1966,0.00400
31/01/1967,0.00430
28/02/1967,0.00360
31/03/1967,0.00390
28/04/1967,0.00320
31/05/1967,0.00330
30/06/1967,0.00270
31/07/1967,0.00310
31/08/1967,0.00310
29/09/1967,0.00320
31/10/1967,0.00390
30/11/1967,0.00360
29/12/1967,0.00330
31/01/1968,0.00400
29/02/1968,0.00390
29/03/1968,0.00380
30/04/1968,0.00430
31/05/1968,0.00450
28/06/1968,0.00430
30/07/1968,0.00480
30/08/1968,0.00420
30/09/1968,0.00430
31/10/1968,0.00440
29/11/1968,0.00420
31/12/1968,0.00430
31/01/1969,0.00530
28/02/1969,0.00460
28/03/1969,0.00460
30/04/1969,0.00530
29/05/1969,0.00480
30/06/1969,0.00510
31/07/1969,0.00530
29/08/1969,0.00500
30/09/1969,0.00620
31/10/1969,0.00600
28/11/1969,0.00520
31/12/1969,0.00640
30/01/1970,0.00600
27/02/1970,0.00620
31/03/1970,0.00570
30/04/1970,0.00500
29/05/1970,0.00530
30/06/1970,0.00580
31/07/1970,0.00520
31/08/1970,0.00530
30/09/1970,0.00540
30/10/1970,0.00460
30/11/1970,0.00460
31/12/1970,0.00420
29/01/1971,0.00380
26/02/1971,0.00330
31/03/1971,0.00300
30/04/1971,0.00280
28/05/1971,0.00290
30/06/1971,0.00370
30/07/1971,0.00400
31/08/1971,0.00470
30/09/1971,0.00370
29/10/1971,0.00370
30/11/1971,0.00370
31/12/1971,0.00370
31/01/1972,0.00290
29/02/1972,0.00250
30/03/1972,0.00270
28/04/1972,0.00290
31/05/1972,0.00300
30/06/1972,0.00290
31/07/1972,0.00310
31/08/1972,0.00290
29/09/1972,0.00340
31/10/1972,0.00400
30/11/1972,0.00370
29/12/1972,0.00370
31/01/1973,0.00440
28/02/1973,0.00410
30/03/1973,0.00460
30/04/1973,0.00520
31/05/1973,0.00510
29/06/1973,0.00510
31/07/1973,0.00640
31/08/1973,0.00700
28/09/1973,0.00680
31/10/1973,0.00650
30/11/1973,0.00560
31/12/1973,0.00640
31/01/1974,0.00630
28/02/1974,0.00580
29/03/1974,0.00560
30/04/1974,0.00750
31/05/1974,0.00750
28/06/1974,0.00600
31/07/1974,0.00700
30/08/1974,0.00600
30/09/1974,0.00810
31/10/1974,0.00510
29/11/1974,0.00540
31/12/1974,0.00700
31/01/1975,0.00580
28/02/1975,0.00430
31/03/1975,0.00410
30/04/1975,0.00440
30/05/1975,0.00440
30/06/1975,0.00410
31/07/1975,0.00480
29/08/1975,0.00480
30/09/1975,0.00530
31/10/1975,0.00560
28/11/1975,0.00410
31/12/1975,0.00480
30/01/1976,0.00470
27/02/1976,0.00340
31/03/1976,0.00400
30/04/1976,0.00420
28/05/1976,0.00370
30/06/1976,0.00430
30/07/1976,0.00470
31/08/1976,0.00420
30/09/1976,0.00440
29/10/1976,0.00410
30/11/1976,0.00400
31/12/1976,0.00400
31/01/1977,0.00360
28/02/1977,0.00350
31/03/1977,0.00380
29/04/1977,0.00380
31/05/1977,0.00370
30/06/1977,0.00400
29/07/1977,0.00420
31/08/1977,0.00440
30/09/1977,0.00430
31/10/1977,0.00490
30/11/1977,0.00500
30/12/1977,0.00490
31/01/1978,0.00490
28/02/1978,0.00460
31/03/1978,0.00530
28/04/1978,0.00540
31/05/1978,0.00510
30/06/1978,0.00540
31/07/1978,0.00560
31/08/1978,0.00560
29/09/1978,0.00620
31/10/1978,0.00680
30/11/1978,0.00700
29/12/1978,0.00780
31/01/1979,0.00770
28/02/1979,0.00730
30/03/1979,0.00810
30/04/1979,0.00800
31/05/1979,0.00820
29/06/1979,0.00810
31/07/1979,0.00770
31/08/1979,0.00770
28/09/1979,0.00830
31/10/1979,0.00870
30/11/1979,0.00990
31/12/1979,0.00950
31/01/1980,0.00800
29/02/1980,0.00890
31/03/1980,0.01210
30/04/1980,0.01260
30/05/1980,0.00810
30/06/1980,0.00610
31/07/1980,0.00530
29/08/1980,0.00640
30/09/1980,0.00750
31/10/1980,0.00950
28/11/1980,0.00960
31/12/1980,0.01310
30/01/1981,0.01040
27/02/1981,0.01070
