Date,Num_Active_Stocks,BEAM,BEER,PFB,ABW,GBL,RUP,CNB,CKB,FAL,FALB,DRE,NBW,GENBB,RG,RGLD,SLZ,SFR,KNBWY,GRRR,LONE,GHB,ABUD,BUD,ACCOB,RKY,TAP,PABT,OLYB,PTBC,HAN,BAS,SXC,CU,CCU,THT,HOOK,BREW,SAM,CFN,IBCO,BRH,ABV,ABEV,AED,MLB,LQU,ROX,CREG,BORN,FO,MWGP,MGPI,AFTI,DR,CUE,BACA,BBRL,ADC,SH,DCS,VO,HIR,CHLN,CGAS,BJD,BFD,BF,CDL,DIL,GDS,SBR,HBL,TFZ,TFI,HTC,JACQ,BBR,CNWN,CDG,CDB,STZ,RAIN,TBVT,TYLR,THTR,DEO,RUM,VCO,ADSO,NDC,GWT,CEDC,PTT,Portfolio_Returns,Portfolio_Proportion,,Risk_Free_Percent,Risk_Free_Decimal,Risk_Free_Monthly,,Excess_Return
31/08/1962,19,,,0.005012531,,0.005263158,0.000248262,0.003095975,,-0.000404858,,0.006159015,-0.000797448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000528961,,,,0.000355619,-0.001367054,0.000331016,,0.005509642,,,0.001742768,-0.05225671,,0.000427899,-0.001778094,0.001233553,-0.002162942,0.001853225,,,,,,,,,,,,,,,,,,,,,,-0.028063405,0.052631579,,3.98,0.0398,0.000274125,,-0.02833753
30/09/1962,19,,,-0.00228833,,-0.009569378,-0.002470966,-0.002923977,,-0.003671971,,-0.00802005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004007481,,,,0,-0.00245614,-0.002631579,,-0.003018769,,,-0.00522942,7.442105263,,-0.000318336,0.000368053,0.001406187,-0.00075188,-0.005728607,,,,,,,,,,,,,,,,,,,,,,7.390792621,0.052631579,,3.98,0.0398,0.000274125,,7.390518496
31/10/1962,19,,,-0.007177033,,-0.023391813,-0.004148302,0.003095975,,-0.002192982,,-0.000591366,0.001619433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001735107,,,,-0.005475097,-0.003312477,0.001558172,,-0.00139237,,,-0.002809515,-0.049674749,,-0.001174335,0.003289474,0.000586969,0,-0.002410607,,,,,,,,,,,,,,,,,,,,,,-0.09533573,0.052631579,,3.93,0.0393,0.000270709,,-0.095606439
30/11/1962,17,,,,,,0.001258257,0.004084967,,0.004859335,,0.000668449,-0.001755926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006350267,,,,0.011015642,0.012730465,0.00695358,,0.005594629,,,0.011278195,-0.035294118,,0.000854284,0.001922338,0.003460208,0.000852515,0.009411765,,,,,,,,,,,,,,,,,,,,,,0.044244853,0.058823529,,3.92,0.0392,0.000270025,,0.043974828
31/12/1962,18,,,,0,,0.0008726,0.002164502,,-0.001561803,,0.00062422,0.000854701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002849,,,,-0.002278304,-0.004771643,0.000634921,,0.004824924,,,-0.002103049,2.416666667,,0.000227221,-0.003516174,-0.005015432,-0.001984127,-0.004214559,,,,,,,,,,,,,,,,,,,,,,2.401139764,0.055555556,,3.86,0.0386,0.000265925,,2.400873839
31/01/1963,18,,,,0.011111111,,0.002290951,-0.000694444,,0.005968779,,0.00617284,-0.000841751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003150057,,,,0.007127193,0.007084265,0.002197112,,0.000126839,,,0.004189435,0.006554307,,0.002376103,-0.002252252,0.011450382,0,0.008706468,,,,,,,,,,,,,,,,,,,,,,0.074717395,0.055555556,,3.83,0.0383,0.000263874,,0.07445352
28/02/1963,18,,,,-0.002314815,,0.004950495,-0.00140647,,0.001865672,,-0.001111111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003523035,,,,-0.001133787,-0.00462963,-0.000905797,,-0.003669957,,,-0.005420054,0.000837521,,-0.000434028,0.002738654,-0.002109705,0.001234568,-0.001792115,,,,,,,,,,,,,,,,,,,,,,-0.016823593,0.055555556,,3.92,0.0392,0.000270025,,-0.017093618
31/03/1963,18,,,,0,,-0.007575758,0,,0.001805054,,-0.001984127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003472222,,,,-0.001653439,0.001082251,0.001151013,,0.004607046,,,-0.000938438,-0.000412541,,-0.003062117,-0.001491424,-0.004751462,0.001207729,-0.000740741,,,,,,,,,,,,,,,,,,,,,,-0.009284732,0.055555556,,3.93,0.0393,0.000270709,,-0.00955544
30/04/1963,19,,,,0.00228833,,0.002770083,0.003417635,,0.001104159,,0.001949318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,-0.002583145,0.001005699,0.00163806,,-0.001422475,,,0.002712968,-0.052106576,,0.004057018,-0.001814882,-0.002271867,-0.000933184,0.007467994,-0.014752791,,,,,,,,,,,,,,,,,,,,,-0.047473656,0.052631579,,3.97,0.0397,0.000273441,,-0.047747098
31/05/1963,19,,,,0.00877193,,-0.003157895,0.000641849,,-0.001982696,,-0.002685285,-0.001619433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001547988,,,,0,0.005592105,0.001795828,,0.001461988,,,-0.002923977,0.144736842,,0.003563066,0.00075188,0.003561535,0.000950029,-0.001245718,-0.00166205,,,,,,,,,,,,,,,,,,,,,0.155002011,0.052631579,,3.93,0.0393,0.000270709,,0.154731302
30/06/1963,19,,,,-0.001879699,,0.010078387,-0.003804692,,0.002996816,,-0.002829655,-0.007518797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000797448,,,,-0.001188455,-0.001486768,-0.000267165,,-0.002607871,,,0.001092697,1.375438596,,-0.001906941,-0.00148258,-0.00148258,-0.001493094,-0.002232855,0.00228833,,,,,,,,,,,,,,,,,,,,,1.362511122,0.052631579,,3.99,0.0399,0.000274808,,1.362236314
31/07/1963,19,,,,0.005847953,,0.000469925,-0.002050581,,-0.004075846,,-0.003289474,-0.001949318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000261849,,,,-0.000694806,-0.001529988,-0.00255102,,-0.001746071,,,0.006601249,-0.049140049,,0.000593589,0.006102212,-0.002860412,-0.000576258,-0.001332445,-0.019736842,,,,,,,,,,,,,,,,,,,,,-0.071656334,0.052631579,,4.02,0.0402,0.000276857,,-0.071933191
31/08/1963,18,,,,0.011111111,,0.019665683,0.000750751,,-0.001216545,,-0.006060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000550055,,,,0.006874768,0.00166334,0.000148943,,0.000544662,,,0.001004016,-0.011316872,,-0.001032631,0.006493506,0.016389953,0,0.002164502,0.003703704,,,,,,,,,,,,,,,,,,,,,0.05143834,0.055555556,,4,0.04,0.000275491,,0.051162849
30/09/1963,16,,,,-0.010416667,,,-0.000833333,,0.000932836,,-0.00127551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00122549,,,,-0.002232143,-0.000726744,0.005013369,,0.001365291,,,-0.002218935,1.193313953,,0,-0.000726744,0.001849112,-0.001153137,0.00078125,,,,,,,,,,,,,,,,,,,,,,1.184898089,0.0625,,4.08,0.0408,0.000280955,,1.184617135
31/10/1963,16,,,,0,,,0,,-0.004136029,,-0.006076389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002103365,,,,-0.00617284,0.002205882,0.000928218,,0.000445368,,,-0.017062883,-0.060546875,,-0.06155303,-0.000735294,-0.005747126,-0.002349624,-0.001929012,,,,,,,,,,,,,,,,,,,,,,-0.164833001,0.0625,,4.11,0.0411,0.000283003,,-0.165116004
30/11/1963,16,,,,0.00625,,,-0.001689189,,0,,-0.001442308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001554726,,,,-0.001712329,-0.003551136,-0.004573171,,0.001474057,,,-0.003691983,-0.011574074,,4.078125,0.001488095,-0.002768987,0.001464844,0,,,,,,,,,,,,,,,,,,,,,,4.056244092,0.0625,,4.12,0.0412,0.000283686,,4.055960406
31/12/1963,16,,,,-0.007575758,,,0.000868056,,0.001722441,,-0.000492126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001594388,,,,-0.002640845,-0.002635542,0.002631579,,0.002880184,,,-0.002802691,0,,0.004009434,-0.014534884,-0.004139073,-0.000715649,-0.005175159,,,,,,,,,,,,,,,,,,,,,,-0.03019442,0.0625,,4.13,0.0413,0.000284369,,-0.030478789
31/01/1964,16,,,,0.002155172,,,-0.000856164,,-0.000478927,,0.006448413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001963351,,,,-0.002757353,-0.002358491,-0.000315657,,0.001789648,,,0.000293427,2.607954545,,0.001994681,-0.008049242,-0.002216312,-0.000482625,0.001736111,,,,,,,,,,,,,,,,,,,,,,2.606820576,0.0625,,4.17,0.0417,0.000287099,,2.606533477
29/02/1964,16,,,,0,,,0.001736111,,0.002413127,,-0.008093525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000951777,,,,0.001923077,0.00122549,-0.003331218,,-0.001204497,,,-0.004088785,-0.000930851,,-0.000214777,-0.001630435,-0.001838235,0.00364786,0.001689189,,,,,,,,,,,,,,,,,,,,,,-0.009649245,0.0625,,4.15,0.0415,0.000285734,,-0.009934979
31/03/1964,15,,,,0.006666667,,,0,,0.001486989,,0.007162534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009621993,,,,0,0.002136752,0.004468275,,-0.029694323,,,0.001666667,-0.065154788,,,0.003571429,-0.000505051,0.00122549,0.000877193,,,,,,,,,,,,,,,,,,,,,,-0.056470172,0.066666667,,4.22,0.0422,0.000290512,,-0.056760684
30/04/1964,15,,,,0,,,-0.001801802,,0.005333333,,-0.0039801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000900901,,,,-0.002238806,-0.002898551,0.004522613,,-0.001574803,,,-0.004227642,-0.025396825,,,-0.001129944,-0.002035623,0.002166065,0.001731602,,,,,,,,,,,,,,,,,,,,,,-0.032431384,0.066666667,,4.23,0.0423,0.000291194,,-0.032722578
31/05/1964,15,,,,0.008080808,,,0.007407407,,-0.002469136,,-0.003174603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00304414,,,,-0.001029601,-0.0004329,-0.000313725,,0.00188172,,,0.002430556,0.056410256,,,0,0.004199475,0.009324009,-0.001687764,,,,,,,,,,,,,,,,,,,,,,0.077582363,0.066666667,,4.2,0.042,0.000289147,,0.077293216
30/06/1964,14,,,,0.001930502,,,-0.000892857,,0.005494505,,0.005952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000341763,,,,-0.001680672,0.000933707,0.003208376,,,,,-0.007178751,0.008928571,,,0.014778325,0.003703704,-0.001314636,0.000463822,,,,,,,,,,,,,,,,,,,,,,0.03466874,0.071428571,,4.17,0.0417,0.000287099,,0.034381641
31/07/1964,13,,,,0.002024291,,,0.006815969,,0.001248751,,0.005325444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007326007,,,,0.003398208,0.001985112,0.004872955,,,,,0.005586592,0.022792023,,,0,-0.005417118,,0.014888337,,,,,,,,,,,,,,,,,,,,,,0.070846572,0.076923077,,4.19,0.0419,0.000288464,,0.070558108
31/08/1964,14,,,,-0.003663004,,,-0.004983389,,-0.001597444,,-0.006166495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002173913,,,,-0.003846154,0.001347709,-0.00212766,,-0.00157563,,,-0.001488095,1.17755102,,,0,-0.001623377,,0.002702703,,,,,,,,,,,,,,,,,,,,,,1.152356272,0.071428571,,4.19,0.0419,0.000288464,,1.152067807
30/09/1964,14,,,,-0.007722008,,,0,,0.006302521,,0.014060742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000960922,,,,-0.00029036,0.007054674,0.004699248,,0.001611171,,,0.003419453,0.00070028,,,-0.008673469,0.000830565,,-0.004092262,,,,,,,,,,,,,,,,,,,,,,0.016939632,0.071428571,,4.2,0.042,0.000289147,,0.016650485
31/10/1964,14,,,,0.004329004,,,-0.002678571,,0.001287001,,-0.000469925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002922078,,,,-0.00058309,-0.000401284,0.000146972,,-0.001313025,,,0.003263234,-0.067036523,,,0,0.001368363,,0.005524862,,,,,,,,,,,,,,,,,,,,,,-0.053640904,0.071428571,,4.19,0.0419,0.000288464,,-0.053929368
30/11/1964,14,,,,-0.004081633,,,0.001855288,,0.000421408,,-0.00614948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003742982,,,,-0.000881834,-0.002824859,0.004253447,,0.002407705,,,-0.006241331,0.033834586,,,0,-0.002685285,,-0.001465201,,,,,,,,,,,,,,,,,,,,,,0.014699828,0.071428571,,4.15,0.0415,0.000285734,,0.014414094
31/12/1964,14,,,,-0.002164502,,,-0.000904159,,-0.000209468,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00164582,,,,-0.001190476,0.005462185,-0.037375415,,-0.002070393,,,-0.003039514,-0.020408163,,,-0.013356562,0,,-0.003739716,,,,,,,,,,,,,,,,,,,,,,-0.080642004,0.071428571,,4.18,0.0418,0.000287782,,-0.080929785
31/01/1965,14,,,,0,,,0.005952381,,-0.032142857,,0.00621118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007749326,,,,0.009382567,0.021857923,0.005226481,,0.009061834,,,0.01031746,0.010714286,,,0.004285714,0.001674107,,0.010260458,,,,,,,,,,,,,,,,,,,,,,0.07055086,0.071428571,,4.19,0.0419,0.000288464,,0.070262396
28/02/1965,14,,,,0.013392857,,,-0.001267963,,0.009931245,,0.004761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000607903,,,,0.002140182,-0.003586372,0.00297619,,0.000473037,,,0.004854369,0.004658385,,,-0.002695418,0.006543075,,0.001725328,,,,,,,,,,,,,,,,,,,,,,0.044514724,0.071428571,,4.21,0.0421,0.000289829,,0.044224894
31/03/1965,14,,,,0.026315789,,,-0.009466437,,0.003688799,,-0.003125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000301386,,,,-0.003376623,0.014159849,0.002857143,,-0.003759398,,,-0.002922078,-0.008746356,,,0.012605042,-0.004995005,,-0.001347709,,,,,,,,,,,,,,,,,,,,,,0.02158663,0.071428571,,4.21,0.0421,0.000289829,,0.0212968
30/04/1965,14,,,,-0.016483516,,,-0.000992063,,-0.002869898,,-0.004201681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00877724,,,,0.000817884,0.00052521,0.001748252,,0.002480159,,,0.002708192,1.42358804,,,0,0.001074114,,-0.000343407,,,,,,,,,,,,,,,,,,,,,,1.416828525,0.071428571,,4.2,0.042,0.000289147,,1.416539379
