,gvkey,iid,datadate,tic,trt1m,naics,sic,monthly_decimal_returns
65810,1320,01,1972-10-31,ALV.3,9.0498,,2080.0,0.090498
65811,1320,01,1972-11-30,ALV.3,-3.7344,,2080.0,-0.037344
65812,1320,01,1972-12-31,ALV.3,7.3276,,2080.0,0.07327600000000001
65813,1320,01,1973-01-31,ALV.3,18.0723,,2080.0,0.180723
65814,1320,01,1973-02-28,ALV.3,-0.3401,,2080.0,-0.003401
65815,1320,01,1973-03-31,ALV.3,1.0239,,2080.0,0.010239
65816,1320,01,1973-04-30,ALV.3,-10.1351,,2080.0,-0.101351
65817,1320,01,1973-05-31,ALV.3,5.2632,,2080.0,0.052632000000000005
65818,1320,01,1973-06-30,ALV.3,3.5714,,2080.0,0.035714
65819,1320,01,1973-07-31,ALV.3,-14.4828,,2080.0,-0.14482799999999998
65820,1320,01,1973-08-31,ALV.3,3.629,,2080.0,0.03629
65821,1320,01,1973-09-30,ALV.3,9.821,,2080.0,0.09820999999999999
65822,1320,01,1973-10-31,ALV.3,1.4184,,2080.0,0.014184
65823,1320,01,1973-11-30,ALV.3,-28.3217,,2080.0,-0.283217
65824,1320,01,1973-12-31,ALV.3,-1.8341,,2080.0,-0.018341
65825,1320,01,1974-01-31,ALV.3,-27.8607,,2080.0,-0.278607
65826,1320,01,1974-02-28,ALV.3,10.3448,,2080.0,0.103448
65827,1320,01,1974-03-31,ALV.3,-24.375,,2080.0,-0.24375
65828,1320,01,1974-04-30,ALV.3,-14.0496,,2080.0,-0.140496
65829,1320,01,1974-05-31,ALV.3,-17.0769,,2080.0,-0.17076899999999998
65830,1320,01,1974-06-30,ALV.3,-6.9767,,2080.0,-0.069767
65831,1320,01,1974-07-31,ALV.3,-22.5,,2080.0,-0.225
65832,1320,01,1974-08-31,ALV.3,-27.4194,,2080.0,-0.274194
65833,1320,01,1974-09-30,ALV.3,13.8667,,2080.0,0.13866699999999998
65834,1320,01,1974-10-31,ALV.3,-9.8039,,2080.0,-0.098039
65835,1320,01,1974-11-30,ALV.3,-14.6957,,2080.0,-0.146957
65836,1320,01,1974-12-31,ALV.3,-10.2564,,2080.0,-0.10256399999999999
65838,1320,01,1975-02-28,ALV.3,7.2727,,2080.0,0.072727
65839,1320,01,1975-03-31,ALV.3,6.7797,,2080.0,0.067797
65840,1320,01,1975-04-30,ALV.3,22.2222,,2080.0,0.222222
65841,1320,01,1975-05-31,ALV.3,-8.4675,,2080.0,-0.084675
65842,1320,01,1975-06-30,ALV.3,-7.1429,,2080.0,-0.071429
65843,1320,01,1975-07-31,ALV.3,-16.9231,,2080.0,-0.16923100000000002
65844,1320,01,1975-08-31,ALV.3,-16.6667,,2080.0,-0.16666699999999998
65845,1320,01,1975-09-30,ALV.3,-4.4444,,2080.0,-0.044444
65846,1320,01,1975-10-31,ALV.3,16.2791,,2080.0,0.162791
65847,1320,01,1975-11-30,ALV.3,0.96,,2080.0,0.0096
65848,1320,01,1975-12-31,ALV.3,6.0,,2080.0,0.06
65849,1320,01,1976-01-31,ALV.3,20.7547,,2080.0,0.207547
65850,1320,01,1976-02-29,ALV.3,4.6875,,2080.0,0.046875
65851,1320,01,1976-03-31,ALV.3,0.0,,2080.0,0.0
65852,1320,01,1976-04-30,ALV.3,-10.4478,,2080.0,-0.10447800000000002
65853,1320,01,1976-05-31,ALV.3,-0.8667,,2080.0,-0.008667000000000001
65854,1320,01,1976-06-30,ALV.3,-6.7797,,2080.0,-0.067797
65855,1320,01,1976-07-31,ALV.3,1.8182,,2080.0,0.018182
65856,1320,01,1976-08-31,ALV.3,-3.5714,,2080.0,-0.035714
65857,1320,01,1976-09-30,ALV.3,-7.4074,,2080.0,-0.074074
65858,1320,01,1976-10-31,ALV.3,-4.0,,2080.0,-0.04
65859,1320,01,1976-11-30,ALV.3,-9.4167,,2080.0,-0.094167
65860,1320,01,1976-12-31,ALV.3,34.8837,,2080.0,0.34883699999999995
65861,1320,01,1977-01-31,ALV.3,-13.7931,,2080.0,-0.137931
65862,1320,01,1977-02-28,ALV.3,-8.0,,2080.0,-0.08
65864,1320,01,1977-04-30,ALV.3,15.0,,2080.0,0.15
65865,1320,01,1977-05-31,ALV.3,3.7826,,2080.0,0.037826
65866,1320,01,1977-06-30,ALV.3,2.1053,,2080.0,0.021053000000000002
65867,1320,01,1977-07-31,ALV.3,0.0,,2080.0,0.0
80314,1408,01,1962-02-28,BEAM.2,-2.4315,312140.0,2085.0,-0.024315000000000003
80315,1408,01,1962-03-31,BEAM.2,-3.9578,312140.0,2085.0,-0.039578
80316,1408,01,1962-04-30,BEAM.2,-13.4615,312140.0,2085.0,-0.13461499999999998
80317,1408,01,1962-05-31,BEAM.2,-10.4889,312140.0,2085.0,-0.104889
80318,1408,01,1962-06-30,BEAM.2,-9.2917,312140.0,2085.0,-0.092917
80319,1408,01,1962-07-31,BEAM.2,-3.1616,312140.0,2085.0,-0.031616
80320,1408,01,1962-08-31,BEAM.2,1.6161,312140.0,2085.0,0.016161000000000002
80321,1408,01,1962-09-30,BEAM.2,-4.878,312140.0,2085.0,-0.048780000000000004
80322,1408,01,1962-10-31,BEAM.2,-7.6923,312140.0,2085.0,-0.076923
80323,1408,01,1962-11-30,BEAM.2,13.8704,312140.0,2085.0,0.138704
80324,1408,01,1962-12-31,BEAM.2,-3.2927,312140.0,2085.0,-0.032927
80325,1408,01,1963-01-31,BEAM.2,4.2901,312140.0,2085.0,0.042900999999999995
80326,1408,01,1963-02-28,BEAM.2,-6.9703,312140.0,2085.0,-0.069703
80327,1408,01,1963-03-31,BEAM.2,8.0014,312140.0,2085.0,0.080014
80328,1408,01,1963-04-30,BEAM.2,5.3672,312140.0,2085.0,0.053672000000000004
80329,1408,01,1963-05-31,BEAM.2,-3.5156,312140.0,2085.0,-0.035156
80330,1408,01,1963-06-30,BEAM.2,-6.1312,312140.0,2085.0,-0.061312
80331,1408,01,1963-07-31,BEAM.2,-1.7813,312140.0,2085.0,-0.017813000000000002
80332,1408,01,1963-08-31,BEAM.2,3.574,312140.0,2085.0,0.03574
80333,1408,01,1963-09-30,BEAM.2,-4.8,312140.0,2085.0,-0.048
80334,1408,01,1963-10-31,BEAM.2,7.7823,312140.0,2085.0,0.077823
80335,1408,01,1963-11-30,BEAM.2,-8.0508,312140.0,2085.0,-0.08050800000000001
80336,1408,01,1963-12-31,BEAM.2,6.5421,312140.0,2085.0,0.06542099999999999
80337,1408,01,1964-01-31,BEAM.2,0.0,312140.0,2085.0,0.0
80338,1408,01,1964-02-29,BEAM.2,2.2807,312140.0,2085.0,0.022807
80339,1408,01,1964-03-31,BEAM.2,14.7826,312140.0,2085.0,0.147826
80340,1408,01,1964-04-30,BEAM.2,1.5152,312140.0,2085.0,0.015152
80341,1408,01,1964-05-31,BEAM.2,-1.791,312140.0,2085.0,-0.01791
80342,1408,01,1964-06-30,BEAM.2,-2.677,312140.0,2085.0,-0.026770000000000002
80343,1408,01,1964-07-31,BEAM.2,8.2833,312140.0,2085.0,0.082833
80344,1408,01,1964-08-31,BEAM.2,6.6277,312140.0,2085.0,0.066277
80345,1408,01,1964-09-30,BEAM.2,-2.4086,312140.0,2085.0,-0.024086
80346,1408,01,1964-10-31,BEAM.2,0.7092,312140.0,2085.0,0.007092
