,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Stim_Portfolio_Returns,USREC
1965-12-31,-0.002174,0.0101,0.0206,0.0203,0.0033,0.0012,-0.005474,0
1966-01-31,0.021978,0.0072,0.0384,0.0356,0.0038,0.0539,0.018178,0
1966-02-28,-0.021505,-0.0121,0.044,0.0033,0.0035,0.0457,-0.025005,0
1966-03-31,-0.057143,-0.0251,0.0099,-0.0198,0.0038,0.0142,-0.060943,0
1966-04-30,0.02353,0.0214,0.0343,-0.0046,0.0034,0.0628,0.02013,0
1966-05-31,-0.0574709999999999,-0.0566,-0.046,-0.0163,0.0041,-0.047,-0.0615709999999999,0
1966-06-30,0.082927,-0.0144,0.0103,0.005,0.0038,0.0325,0.079127,0
1966-07-31,-0.113637,-0.0163,-0.0036,0.0095,0.0035,-0.0134,-0.117137,0
1966-08-31,-0.102563,-0.0791,-0.0327,0.0043,0.0041,-0.0214,-0.10666300000000001,0
1966-09-30,-0.060001,-0.0106,-0.0104,0.0056,0.004,-0.0184,-0.064001,0
1966-10-31,0.0,0.0386,-0.0652,0.0269,0.0045,-0.0526,-0.0045,0
1966-11-30,0.015385,0.014,0.0424,-0.0469,0.004,0.0572,0.011385,0
1966-12-31,0.045454,0.0013,0.0197,-0.0119,0.004,0.0106,0.041454000000000005,0
1967-02-28,-0.01087,0.0078,0.0335,-0.0222,0.0036,0.0352,-0.01447,0
1967-03-31,0.2417589999999999,0.0399,0.0155,0.0037,0.0039,0.0153,0.2378589999999999,0
1967-04-30,0.035398,0.0389,0.0063,-0.0248,0.0032,0.0059,0.032198,0
1967-05-31,-0.060345,-0.0433,0.019,0.0109,0.0033,0.0072,-0.06364500000000001,0
1967-06-30,0.293572,0.0241,0.0593,0.0085,0.0027,0.06,0.290872,0
1967-07-31,-0.007092,0.0458,0.0312,0.0273,0.0031,-0.0107,-0.010192,0
1967-08-31,-0.043162,-0.0089,0.0042,0.0144,0.0031,-0.0138,-0.046262,0
1967-09-30,0.022553,0.0311,0.0306,-0.025,0.0032,0.0252,0.019353,0
1967-10-31,0.30294,-0.0309,0.0146,-0.033,0.0039,0.0367,0.29904,0
