,gvkey,iid,datadate,tic,trt1m,naics,sic,monthly_decimal_returns
418988,3013,01,1965-12-31,CHF.,-0.2174,311920.0,2090.0,-0.002174
418989,3013,01,1966-01-31,CHF.,2.1978,311920.0,2090.0,0.021978
418990,3013,01,1966-02-28,CHF.,-2.1505,311920.0,2090.0,-0.021505
418991,3013,01,1966-03-31,CHF.,-5.7143,311920.0,2090.0,-0.057143
418992,3013,01,1966-04-30,CHF.,2.353,311920.0,2090.0,0.023530000000000002
418993,3013,01,1966-05-31,CHF.,-5.7471,311920.0,2090.0,-0.057470999999999994
418994,3013,01,1966-06-30,CHF.,8.2927,311920.0,2090.0,0.082927
418995,3013,01,1966-07-31,CHF.,-11.3637,311920.0,2090.0,-0.113637
418996,3013,01,1966-08-31,CHF.,-10.2563,311920.0,2090.0,-0.102563
418997,3013,01,1966-09-30,CHF.,-6.0001,311920.0,2090.0,-0.060001
418998,3013,01,1966-10-31,CHF.,0.0,311920.0,2090.0,0.0
418999,3013,01,1966-11-30,CHF.,1.5385,311920.0,2090.0,0.015385
419000,3013,01,1966-12-31,CHF.,4.5454,311920.0,2090.0,0.045454
419002,3013,01,1967-02-28,CHF.,-1.087,311920.0,2090.0,-0.01087
419003,3013,01,1967-03-31,CHF.,24.1759,311920.0,2090.0,0.24175899999999997
419004,3013,01,1967-04-30,CHF.,3.5398,311920.0,2090.0,0.035398
419005,3013,01,1967-05-31,CHF.,-6.0345,311920.0,2090.0,-0.060345
419006,3013,01,1967-06-30,CHF.,29.3572,311920.0,2090.0,0.293572
419007,3013,01,1967-07-31,CHF.,-0.7092,311920.0,2090.0,-0.007092
419008,3013,01,1967-08-31,CHF.,-4.3162,311920.0,2090.0,-0.043162000000000006
419009,3013,01,1967-09-30,CHF.,2.2553,311920.0,2090.0,0.022553
419010,3013,01,1967-10-31,CHF.,30.294,311920.0,2090.0,0.30294
419011,3013,01,1967-11-30,CHF.,-0.5684,311920.0,2090.0,-0.005684
419012,3013,01,1967-12-31,CHF.,1.143,311920.0,2090.0,0.011430000000000001
419013,3013,01,1968-01-31,CHF.,-12.8807,311920.0,2090.0,-0.128807
419014,3013,01,1968-02-29,CHF.,-15.0327,311920.0,2090.0,-0.150327
419015,3013,01,1968-03-31,CHF.,6.9231,311920.0,2090.0,0.069231
419016,3013,01,1968-04-30,CHF.,21.7266,311920.0,2090.0,0.21726600000000001
