,ABEV,ABUD,ABV,ABW,ACCOB,ADC,ADSO,AED,AFTI,BACA,BAS,BBR,BBRL,BEAM,BEER,BF,BFD,BJD,BORN,BREW,BRH,BUD,CCU,CDB,CDG,CDL,CEDC,CFN,CGAS,CHLN,CKB,CNB,CNWN,CREG,CU,CUE,DCS,DEO,DIL,DR,DRE,FAL,FALB,FO,GBL,GDS,GENBB,GHB,GRRR,GWT,HAN,HBL,HIR,HOOK,HTC,IBCO,JACQ,KNBWY,LONE,LQU,MGPI,MLB,MWGP,NBW,NDC,OLYB,PABT,PFB,PTBC,PTT,RAIN,RG,RGLD,RKY,ROX,RUM,RUP,SAM,SBR,SFR,SH,SLZ,STZ,SXC,TAP,TBVT,TFI,TFZ,THT,THTR,TYLR,VCO,VO,FARM,GMCR,JVA,PEET,Excess Return on the Market,Small-Minus-Big Return,High-Minus-Low Return,Momentum Factor,USREC
1962-07-31,,,,,,37.0,,,,,,,,,,,21.9375,37.75,,,,,,,,-15.375,,,,,,8.5,,,,,39.75,,-4.625,24.875,23.5,32.5,,,1.25,16.0,,,,,,17.75,45.375,,,,,,,,,,,-4.125,,,,2.625,,,,,,,,,13.25,,-18.25,,19.25,,,,,,,,,,,,,,,,,0.06280000000000001,0.0163,-0.035699999999999996,0.0055000000000000005,0
1962-08-31,,,,,,37.25,,,,,,,,,,,-0.15625,39.0,,,,,,,,-15.5,,,,,,9.0,,,,,40.0,,-4.46875,24.625,26.25,32.25,,,1.375,16.375,,,,,,18.375,50.125,,,,,,,,,,,-4.0625,,,,2.875,,,,,,,,,-13.3125,,-17.5,,18.75,,,,,,,,,,,,,,,,,0.0213,0.0125,-0.0121,-0.0058,0
1962-10-31,,,,,,33.375,,,,,,,,,,,-1.25,33.25,,,,,,,,-15.0625,,,,,,9.0,,,,,39.125,,-4.78125,22.0,22.0,28.75,,,0.625,17.0,,,,,,15.625,46.0,,,,,,,,,,,-4.1875,,,,2.375,,,,,,,,,-11.6875,,-17.25,,16.75,,,,,,,,,,,,,,,,,-0.0005,-0.0401,0.013500000000000002,0.0075,0
1962-11-30,,,,2.5,,39.625,,,,,,,,,,,-0.5,39.625,,,,,,,,-15.28125,,,,,,9.625,,,,,43.75,,-4.9375,24.375,22.25,31.125,,,,18.0,,,,,,18.125,50.375,,,,,,,,,,,-4.0625,,,,,,,,,,,,,-11.9375,,-17.5,,20.375,,,,,,,,,,,,,,,,,0.10869999999999999,0.0259,0.009899999999999999,-0.0717,0
1962-12-31,,,,2.5,,38.0,,,,,,,,,,,22.25,38.125,,,,,,,,-15.34375,,,,,,10.0,,,,,44.25,,4.625,24.25,22.5,30.25,,,,16.375,,,,,,16.75,54.75,,,,,,,,,,,-4.125,,,,,,,,,,,,,-12.125,,-16.875,,18.625,,,,,,,,,,,,,,,,,0.0101,-0.038,0.0034999999999999996,0.0588,0
1963-01-31,,,,3.0,,42.875,,,,,,,,,,,24.875,41.0,,,,,,,,-16.0,,,,,,9.875,,,,,46.0,,-4.4375,25.625,25.0,33.5,,,,19.75,,,,,,19.375,54.875,,,,,,,,,,,-4.0625,,,,,,,,,,,,,-12.625,,-16.875,,21.0,,,,,,,,,,,,,,,,,0.0493,0.031200000000000002,0.0217,-0.021,0
1963-02-28,,,,2.875,,42.0,,,,,,,,,,,25.25,37.0,,,,,,,,-15.875,,,,,,-9.625,,,,,45.25,,-4.65625,24.0,24.5,34.625,,,,19.0,,,,,,18.75,51.25,,,,,,,,,,,-4.0625,,,,,,,,,,,,,-13.75,,17.25,,19.25,,,,,,,,,,,,,,,,,-0.023799999999999998,0.0046,0.022000000000000002,0.0252,0
1963-04-30,,,,3.0,,38.75,,,,,,,,,,,-0.25,38.25,,,,,,,,-16.15625,,,,,,10.25,,,,,47.625,,-4.375,25.5,24.5,36.5,,,,16.625,,,,,,21.125,54.0,,,,,,,,,,,-4.0625,,,,,,,,,,,,,12.5,,-17.3125,,20.0,,,,,,,11.875,,,,,,,,,,0.0451,-0.013500000000000002,0.01,-0.0008,0
1963-05-31,,,,3.5,,38.75,,,,,,,,,,,-0.9375,36.125,,,,,,,,-17.25,,,,,,10.375,,,,,49.25,,-4.4375,24.75,23.25,35.125,,,,17.75,,,,,,20.625,55.5,,,,,,,,,,,-3.9375,,,,,,,,,,,,,11.75,,-17.625,,22.125,,,,,,,11.5,,,,,,,,,,0.0176,0.010700000000000001,0.026099999999999998,0.0037,0
1963-07-31,,,,3.75,,37.375,,,,,,,,,,,-1.6875,41.5,,,,,,,,-16.8125,,,,,,9.25,,,,,46.625,,-4.8125,25.25,20.625,34.25,,,,-16.3125,,,,,,19.25,51.0,,,,,,,,,,,3.25,,,,,,,,,,,,,-14.125,,-16.9375,,20.875,,,,,,,7.5,,,,,,,,,,-0.0039000000000000003,-0.0053,-0.0089,0.01,0
1963-09-30,,,,3.75,,40.5,,,,,,,,,,,27.0,40.75,,,,,,,,-16.5,,,,,,9.25,,,,,50.5,,-5.3125,26.0,18.0,34.0,,,,21.75,,,,,,20.25,-52.625,,,,,,,,,,,,,,,,,,,,,,,,,,16.625,,21.25,,,,,,,,,,,,,,,,,-0.015700000000000002,-0.0034999999999999996,0.0008,0.0016,0
1963-10-31,,,,3.75,,36.5,,,,,,,,,,,-0.84375,29.625,,,,,,,,0.25,,,,,,9.25,,,,,51.25,,5.25,25.125,16.25,31.75,,,,19.75,,,,,,19.625,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,22.0,,,,,,,,,,,,,,,,,0.0253,-0.005600000000000001,-0.0014000000000000002,0.031400000000000004,0
1963-12-31,,,,3.625,,34.0,,,,,,,,,,,-0.6875,26.625,,,,,,,,-17.625,,,,,,9.125,,,,,49.5,,-4.125,23.875,15.75,32.625,,,,17.625,,,,,,18.0,56.75,,,,,,,,,,,,,,,,,,,,,,,,,,-16.1875,,19.875,,,,,,,,,,,,,,,,,0.0183,-0.021099999999999997,-0.0008,0.017,0
1964-01-31,,,,3.75,,32.5,,,,,,,,,,,29.375,26.75,,,,,,,,-18.1875,,,,,,9.0,,,,,49.25,,-3.59375,24.625,17.375,32.375,,,,17.0,,,,,,18.5,58.375,,,,,,,,,,,,,,,,,,,,,,,,,,-16.0625,,19.125,,,,,,,,,,,,,,,,,0.022400000000000003,-0.0014000000000000002,0.0147,0.0106,0
1964-03-31,,,,4.125,,33.5,,,,,,,,,,,-0.65625,25.625,,,,,,,,,,,,,,9.25,,,,,49.75,,-3.6875,27.75,16.75,34.375,,,,16.375,,,,,,19.25,31.75,,,,,,,,,,,,,,,,,,,,,,,,,,-17.3125,,20.125,,,,,,,,,,,,,,,,,0.0141,0.009899999999999999,0.0336,0.0070999999999999995,0
1964-04-30,,,,4.125,,32.375,,,,,,,,,,,0.40625,24.0,,,,,,,,,,,,,,9.0,,,,,53.125,,-3.625,27.375,15.75,37.125,,,,15.875,,,,,,19.75,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.875,,19.25,,,,,,,,,,,,,,,,,0.001,-0.0144,-0.0058,-0.006,0
